 # step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  13800      6.80e-01    6.23e-01      8.50e-03    4.29e-03      2.26e-02    2.07e-02    9.0e-04
  13900      6.62e-01    9.36e-01      7.19e-03    5.69e-02      2.20e-02    3.09e-02    9.0e-04
  14000      9.26e-01    8.03e-01      1.65e-02    1.22e-02      3.08e-02    2.67e-02    9.0e-04
  14100      6.60e-01    5.98e-01      4.85e-02    3.13e-02      2.15e-02    1.95e-02    9.0e-04
  14200      6.17e-01    6.45e-01      3.79e-02    8.99e-03      2.03e-02    2.15e-02    9.0e-04
  14300      6.11e-01    6.82e-01      2.02e-02    1.31e-02      2.02e-02    2.27e-02    9.0e-04
  14400      5.99e-01    5.12e-01      1.57e-02    1.15e-02      1.99e-02    1.70e-02    9.0e-04
  14500      6.85e-01    5.48e-01      3.41e-02    3.52e-02      2.23e-02    1.77e-02    9.0e-04
  14600      6.82e-01    7.66e-01      2.33e-02    1.01e-02      2.26e-02    2.55e-02    9.0e-04
  14700      8.44e-01    8.47e-01      4.13e-03    3.22e-03      2.81e-02    2.82e-02    9.0e-04
  14800      5.75e-01    6.13e-01      6.19e-03    5.70e-03      1.91e-02    2.04e-02    9.0e-04
  14900      6.70e-01    7.97e-01      2.21e-02    3.89e-02      2.21e-02    2.64e-02    9.0e-04
  15000      7.07e-01    7.64e-01      2.59e-02    2.61e-02      2.33e-02    2.52e-02    9.0e-04
  15100      5.48e-01    5.48e-01      8.47e-03    7.83e-03      1.82e-02    1.82e-02    9.0e-04
  15200      6.77e-01    6.31e-01      9.05e-03    6.14e-02      2.25e-02    2.06e-02    9.0e-04
  15300      6.58e-01    4.88e-01      1.54e-02    1.24e-02      2.19e-02    1.62e-02    9.0e-04
  15400      6.73e-01    7.12e-01      2.93e-02    2.87e-02      2.21e-02    2.36e-02    9.0e-04
  15500      6.98e-01    7.36e-01      1.48e-02    6.58e-02      2.32e-02    2.41e-02    9.0e-04
  15600      7.19e-01    6.12e-01      1.33e-02    1.08e-02      2.39e-02    2.03e-02    9.0e-04
  15700      9.00e-01    8.80e-01      2.03e-02    1.62e-02      2.99e-02    2.92e-02    9.0e-04
  15800      6.68e-01    5.55e-01      9.24e-03    2.24e-03      2.22e-02    1.85e-02    9.0e-04
  15900      5.62e-01    7.08e-01      3.21e-02    3.32e-02      1.82e-02    2.35e-02    9.0e-04
